"customer_id","name","email","mobile_no","login_date_time","password"
1,"fgh","dfg@gmail.com","-","2023-10-06 08:15:05.826558","456asdA'@"
2,"ghj","fghj@gmail.com","-","2023-10-06 08:24:50.364509","fghj345A'@"
3,"ghj","fghj@gmail.com","-","2023-10-06 08:24:50.382119","fghj345A'@"
4,"dfgh","gh@gmail.com","-","2023-10-06 08:27:01.754404","dfg234!@A'"
5,"ghj","fg@gmail.com","-","2023-10-06 08:29:55.44201","fgh23@SD'"
6,"fgh","fgh@gmail.com","-","2023-10-06 08:35:13.288681","hj!@#ASDF'45"
7,"fghj","dfg@gmail.com","-","2023-10-06 08:35:55.93367","fghj123AS""@"
8,"dfg","-","8488874567","2023-10-06 08:38:22.07652","fghj234@A'"
9,"fg","-","8488856787","2023-10-06 08:39:53.911641","dfgh234A@"
10,"khushal","-","8488879226","2023-10-06 08:59:52.996039","76804aA@"
11,"khush","khushal@gmail.com","-","2023-10-06 09:01:49.918325","23dfghA@#"
12,"skj","skj@gmail.com","-","2023-10-06 10:12:51.624588","7680$As67"
13,"khushal","skj@gmail.com","-","2023-10-06 12:04:50.962363","56sdfgA@e"
14,"navalram","navalaram@gmail.com","-","2023-10-06 13:19:41.137199","7689Asf!@"
15,"khushal","khushal@gmail.com","-","2023-10-06 13:42:14.159109","sdfgAS@34"
16,"Khushal","khushalsavalakha@gmail.com","-","2023-10-06 21:58:51.880988","7680asdFA@"
17,"Khushal","sdtyuiop;lkjbvc","-","2023-10-06 22:06:28.48062","tfh23W@Rhj"
18,"4","khushalsavalakha@gmail.com","-","2023-10-06 22:07:12.771753","mnsdfgh87@A"
